App,Link
Petstore,http://www.oracle.com/technetwork/java/petstore1-3-1-02-139690.html
changesetEJB,https://sourceforge.net/projects/qualdevchangese/files/Qualdev%20Changeset/Release%202.2/
osv45,https://github.com/ties/kiesraad-ondersteunende_software_verkiezingen/tree/master/src/osv45
task6_ejb2_1,https://github.com/AlexandrDrinov/task6_ejb2_1
mqbuffer,https://github.com/mlecoutre/mqbuffer
springstore,https://github.com/mdeinum/springstore
EJBPool,see archive in the folder
vaza,https://sourceforge.net/projects/vaza/files/vaza/vaza-0.0.1/
doalist-wsad ,https://github.com/mirontoli/doalist-wsad
crezoo,https://github.com/bioit/crezoo
