n,With hidden deps,No hidden deps
2,0.379008746355685,4.00291545189504
3,2.95626822157434,14.801749271137
4,9.04956268221574,36.8309037900875
5,19.0087463556851,63.0583090379009
6,26.3965014577259,83.268221574344
7,29.935860058309,103.880466472303
8,28.4489795918367,124.032069970845
9,22.2390670553936,138.930029154519
10,20.2040816326531,145.425655976676
11,18.3148688046647,149.565597667638
12,16.6297376093295,152.282798833819
13,16.2507288629737,152.895043731778
14,16.0349854227405,153.122448979592
